name,cat,reason,degree,fam,cooc,mentions
Darío,1,clean,409,0,193,24
Ucrania #,1,clean,18,0,15,1
Yoon Hwan Choi,1,clean,32,0,18,1
Kinsoundi Ward,1,clean,82,0,63,1
Misión Illinois Chicago,1,clean,135,0,107,2
Cache,1,clean,643,0,299,19
the England Leeds Mission,1,clean,117,0,54,4
Kiddushin 4:13,1,clean,42,0,22,1
Lingle,1,clean,62,0,32,1
Ac 2:24,1,clean,1,0,0,1
Freestone Haití Port-Au-Prince Hubermann Bien-Aimé,4,spanish_verb,84,0,28,1
Cosas Apacibles Del Reino,1,clean,45,0,32,1
Kazajstán,4,spanish_verb,30,0,18,1
Nauvoo City Charter,1,clean,85,0,32,1
Niles,1,clean,251,0,98,2
Aquellas,1,clean,314,0,193,14
andado”⁸.,4,single_lowercase,27,0,13,1
Colegio Universitario de Agricultura en Logan,1,clean,46,0,26,1
Mormons and the Theatre,1,clean,90,0,49,1
Azotos,1,clean,46,0,0,0
Centro Humanitario Santos de los Últimos Días,4,spanish_verb,40,0,28,2
the Taipei First,1,clean,43,0,16,1
Tenés,1,clean,21,0,8,1
Nefi 17. Narrador,1,clean,28,0,9,1
Klein,1,clean,742,0,321,9
“Prest,5,starts_nonword,52,0,35,3
Neusner,1,clean,73,0,36,1
Kentville,1,clean,37,0,25,0
! ¿Por qué? ¡Gracias,5,starts_nonword,50,0,30,2
Estaca Escondido,4,spanish_verb,27,0,16,1
Originator,1,clean,26,0,17,1
Sloughs,1,clean,53,0,31,1
Jallahuis,1,clean,47,0,32,1
Numb,1,clean,94,0,51,3
the Germanic Languages,1,clean,60,0,34,1
Isa 42:8,3,scripture_ref,1,0,0,1
Nehemiah 7:1-73,1,clean,248,0,99,4
Bezetha,1,clean,47,0,27,1
Campo a Kirtland,1,clean,57,0,39,1
Him.³⁶ Thankfully,1,clean,33,0,18,1
África del Sur,1,clean,134,0,88,4
Matan a Joás,4,spanish_verb,13,0,5,1
Central Europe,1,clean,186,0,117,7
Estaca San Gerónimo,1,clean,90,0,51,2
the Bogart Battle,1,clean,34,0,13,1
Short,1,clean,36,0,20,2
Prepararé,4,spanish_verb,49,0,28,2
muerte</i,4,single_lowercase,71,0,46,2
Santa Presencia,1,clean,40,0,21,1
Saratov,1,clean,143,0,84,6
Vivimos,4,spanish_verb,2495,0,1378,201
Territorio Indio de Oklahoma,1,clean,34,0,20,1
Fijas,1,clean,31,0,10,1
Biográfica de Nueva York,1,clean,53,0,25,1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,5,numeric_only,17,0,15,1
Lecture 7:17,1,clean,25,0,17,1
Estaca Benson,1,clean,37,0,22,0
Advertencias | Invitaciones,1,clean,48,0,33,1
Sección 88,1,clean,62,0,42,2
Kentâs,1,clean,30,0,12,1
