from_name,from_type,relation,to_name,to_type
Besodeiah,person,FATHER_OF,Meshullam,person
Harhaiah,person,FATHER_OF,Uzziel,person
Hur,person,FATHER_OF,Rephaiah,person
Harumaph,person,FATHER_OF,Jedaiah,person
Hashabniah,person,FATHER_OF,Hattush,person
Harim,person,FATHER_OF,Malchijah,person
Pahath-moab,person,FATHER_OF,Hashub,person
Halohesh,person,FATHER_OF,Shallum,person
Rechab,person,FATHER_OF,Malchiah,person
Col-hozeh,person,FATHER_OF,Shallun,person
Azbuk,person,FATHER_OF,Nehemiah,person
Bani,person,FATHER_OF,Rehum,person
Henadad,person,FATHER_OF,Bavai,person
Jeshua,person,FATHER_OF,Ezer,person
Zabbai,person,FATHER_OF,Baruch,person
Maaseiah,person,FATHER_OF,Azariah,person
Henadad,person,FATHER_OF,Binnui,person
Uzai,person,FATHER_OF,Palal,person
Parosh,person,FATHER_OF,Pedaiah,person
Immer,person,FATHER_OF,Zadok,person
Shelemiah,person,FATHER_OF,Hananiah,person
Zechariah,person,FATHER_OF,Uzziah,person
Shephatiah,person,FATHER_OF,Amariah,person
Col-hozeh,person,FATHER_OF,Baruch,person
Adaiah,person,FATHER_OF,Hazaiah,person
Zechariah,person,FATHER_OF,Joiarib,person
Uzziah,person,FATHER_OF,Athaiah,person
Baruch,person,FATHER_OF,Maaseiah,person
Joed,person,FATHER_OF,Meshullam,person
Kolaiah,person,FATHER_OF,Pedaiah,person
Ithiel,person,FATHER_OF,Maaseiah,person
Meshullam,person,FATHER_OF,Hilkiah,person
Meraioth,person,FATHER_OF,Zadok,person
Pelaliah,person,FATHER_OF,Jeroham,person
Zechariah,person,FATHER_OF,Amzi,person
Malchiah,person,FATHER_OF,Pashur,person
Zichri,person,FATHER_OF,Joel,person
Senuah,person,FATHER_OF,Judah,person
Joiarib,person,FATHER_OF,Jedaiah,person
Hilkiah,person,FATHER_OF,Seraiah,person
Ahasai,person,FATHER_OF,Azareel,person
Immer,person,FATHER_OF,Meshillemoth,person
Azrikam,person,FATHER_OF,Hashub,person
Bunni,person,FATHER_OF,Hashabiah,person
Zabdi,person,FATHER_OF,Micha,person
Galal,person,FATHER_OF,Shammua,person
Azareel,person,FATHER_OF,Amashai,person
Hashub,person,FATHER_OF,Shemaiah,person
Micha,person,FATHER_OF,Mattaniah,person
Shammua,person,FATHER_OF,Abda,person
Hashabiah,person,FATHER_OF,Bani,person
Bani,person,FATHER_OF,Uzzi,person
Meshezabeel,person,FATHER_OF,Pethahiah,person
Hachaliah,person,FATHER_OF,TIRSHATHA,people
Azaniah,person,FATHER_OF,Jeshua,person
Jozadak,person,FATHER_OF,Jeshua,person
Shemaiah,person,FATHER_OF,Jonathan,person
Michaiah,person,FATHER_OF,Mattaniah,person
Asaph,person,FATHER_OF,Zaccur,person
Delaiah,person,FATHER_OF,Shemaiah,person
Arah,person,FATHER_OF,Shechaniah,person
Nun,person,FATHER_OF,Jeshua,person
Mattaniah,person,FATHER_OF,Zaccur,person
Zaccur,person,FATHER_OF,Hanan,person
Hachaliah,person,FATHER_OF,Nehemiah,person
Kish,person,FATHER_OF,Saul,person
Ahitub,person,FATHER_OF,Ahiah,person
Eli,person,FATHER_OF,Phinehas,person
Maoch,person,FATHER_OF,Achish,person
Abiel,person,FATHER_OF,Kish,person
Bechorath,person,FATHER_OF,Zeror,person
Jeroham,person,FATHER_OF,Elkanah,person
Tohu,person,FATHER_OF,Elihu,person
Ahimelech,person,FATHER_OF,Abiathar,person
