neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2155,John 5:2,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2156,John 5:7,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2161,Mosiah 4:2.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2162,Luke 16:20,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2165,Mark 14:5,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2166,John 12:5,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2167,Mark 14:7,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2173,Jacob 5:23,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2174,Mosiah 4:19,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2180,John 10:23.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2184,Luke 12:42. lord,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2185,Alma 27:24,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2201,Mark 7:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2210,John 10:18.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2216,Luke 19:37,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2221,Alma 27:7,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2222,Mark 6:46,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2223,Mark 11:25,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2224,Mark 13:33.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2225,Luke 2:37,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2228,John 17:9,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2229,James 5:14.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2234,Alma 34:19,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2235,Alma 38:13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2247,Mark 6:12,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2248,Alma 29:13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2700,John 19:14.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2702,Alma 42:10,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2707,Mark 10:40,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2710,Alma 34:3.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2715,John 14:25,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2724,Luke 17:33,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2726,Alma 46:24.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2740,Jacob 2:16,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2746,Alma 25:4–12,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2753,Mosiah 6:3,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2754,Alma 15:13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2759,Mark 11:28.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2770,John 20:23,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2808,Luke 3:20,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2809,Luke 21:12,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2810,John 3:24.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2821,D&C 19:28,people,scripture_ref
