entity_id,name,entity_type,reason
256195,Ezra 7:1,person,scripture_ref
256603,John 1:1–18,person,scripture_ref
256605,Luke 1:39–56 Event Birth of John,person,scripture_ref
256607,Luke 2:1–5 Event Birth of Jesus,person,scripture_ref
256608,Helaman 14:5–12,concept,scripture_ref
256610,Luke 2:39–40 Event Visit,people,scripture_ref
256612,Luke 2:41–50 Event,people,scripture_ref
256655,Luke 3:1–3 John / Latter-day,person,scripture_ref
256659,Mark 1:4–8 Luke,person,scripture_ref
256660,Luke 4:1–13 John / Latter-day,person,scripture_ref
256661,Matthew 4 Event,person,scripture_ref
256662,John 1:35–51 Event Jesus,person,scripture_ref
256689,John 2:1–11 Event Visit,period,scripture_ref
256696,John 2:13,person,scripture_ref
256698,John 2:18–22 Event Visit,people,scripture_ref
256699,John 3:22 Event,period,scripture_ref
256700,John 3:23–36,person,scripture_ref
256701,Mark 6:17–20 Luke,person,scripture_ref
256721,John 4:1–3 Event Woman,person,scripture_ref
256723,John 4:4–42 Event Jesus,person,scripture_ref
256725,Mark 1:14–15 Luke,person,scripture_ref
256726,Luke 4:14–15 John / Latter-day,person,scripture_ref
256727,John 4:43–45 Event Heals,people,scripture_ref
256728,John 4:46–54 Event Jesus,person,scripture_ref
256730,Luke 4:31–32 Event Fishermen,people,scripture_ref
256731,Mark 1:16–20 Luke,person,scripture_ref
256732,Mark 1:21–22 Luke,person,scripture_ref
256733,Luke 4:31–32 Event Casts,people,scripture_ref
256735,Mark 1:21–28 Luke,person,scripture_ref
256737,Mark 1:29–31 Luke,person,scripture_ref
256738,Luke 4:38–39 Event Heals,people,scripture_ref
256740,Mark 1:35–39 Luke,person,scripture_ref
256741,Luke 4:42–44 Event Heals,person,scripture_ref
256742,Luke 5:12–15 Event Paralytic,person,scripture_ref
256743,Luke 5:17–26 Event Feast,people,scripture_ref
256745,Mark 2:13–17 Luke,person,scripture_ref
256746,Mark 2:18–22 Luke,person,scripture_ref
256747,Matthew 9:18–21,people,scripture_ref
256749,Mark 2:23–3 Luke,person,scripture_ref
256751,Mark 3:13–19 Luke,person,scripture_ref
256753,Luke 6:17–49 Event,people,scripture_ref
