src_id,src_name,rel_type,dst_id,dst_name,src_type
37831,Jehoahaz,FATHER_OF,36330,Joash,person
36330,Joash,FATHER_OF,19106,Judah,person
18663,David,FATHER_OF,36341,Jerimoth,person
36744,Zichri,FATHER_OF,37809,Amasiah,person
18917,Ishmael,FATHER_OF,36351,Zebadiah,person
19872,Zechariah,FATHER_OF,36671,Abijah,person
36557,Azariah,FATHER_OF,19091,Joel,person
37052,Abdi,FATHER_OF,28096,Kish,person
37886,Jehalelel,FATHER_OF,36557,Azariah,person
37035,Zimmah,FATHER_OF,36727,Joah,person
36727,Joah,FATHER_OF,18668,Eden,person
37938,Joahaz,FATHER_OF,36727,Joah,person
37147,Imnah,FATHER_OF,36722,Kore,person
35449,Zadok,FATHER_OF,37868,Jerushah,person
36352,Jeroham,FATHER_OF,36557,Azariah,person
36724,Jehohanan,FATHER_OF,18917,Ishmael,person
19422,Obed,FATHER_OF,36557,Azariah,person
37051,Adaiah,FATHER_OF,36430,Maaseiah,person
36744,Zichri,FATHER_OF,37841,Elishaphat,person
35433,Jehoram,FATHER_OF,36557,Azariah,person
36247,Jehoiada,SPOUSE_OF,35433,Jehoram,person
36247,Jehoiada,FATHER_OF,19872,Zechariah,person
37850,Shimeath,FATHER_OF,36300,Zabad,person
37152,Shimrith,FATHER_OF,36726,Jehozabad,person
18905,Herodias,FATHER_OF,35300,Salome,person
37879,Hadlai,FATHER_OF,30774,Amasa,person
37798,Oded,FATHER_OF,36557,Azariah,person
36679,Immer,FATHER_OF,37258,Pashur,person
41083,Habaziniah,FATHER_OF,19084,Jeremiah,person
41084,Igdaliah,FATHER_OF,36304,Hanan,person
36600,Rechab,FATHER_OF,37993,Jonadab,person
19105,Josiah,FATHER_OF,19875,Zedekiah,person
36430,Maaseiah,FATHER_OF,19878,Zephaniah,person
37936,Shaphan,FATHER_OF,39587,Elasah,person
36738,Hilkiah,FATHER_OF,41047,Gemariah,person
41048,Kolaiah,FATHER_OF,3301,Ahab,person
36430,Maaseiah,FATHER_OF,19875,Zedekiah,person
